symbol,t_stat,p_value,reject_H0
LSK,0.9845966222082723,0.16245977495186253,False
EOS,0.5737964347107658,0.28307881763022175,False
ZRX,1.3905292229474422,0.0822467762910199,False
BAT,1.063904375198735,0.1437388209605945,False
ETC,2.1025917842353263,0.017789298703354686,True
DASH,1.5348249737942936,0.06245632570590076,False
XMR,3.6267381082315797,0.00014541635176876753,True
BCH,1.1231735956067317,0.13074520588194474,False
XRP,3.1545520874545154,0.0008102326917158939,True
LTC,2.6880056304136204,0.0036100393656500426,True
ETH,3.6377571956393955,0.00013944250988360082,True
BTC,3.5200056603047614,0.00021832450163522757,True
